report-key|report-url|accidnet-classification|location|mine-type|mine-controller|mined-mineral|incident-date|location-processed|state|f-p-desc-of-accident
/data-reports/fatality-reports/2019/december-3-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/december-3-2019-fatality|Machinery|Holcim (US) Inc. Holly Hill Facility, Orangeburg County,  SC|Metal and Non-Metal|LafargeHolcim Ltd|Cement|2019-12-03T00:00:00-05:00|SC|South Carolina|
/data-reports/fatality-reports/2019/november-16-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/november-16-2019-fatality|Machinery|EP Engineered Clays Corporation, Hinds County,  MS|Metal and Non-Metal|USS Holdings Inc|Clay Ceramic Refractory Mnls|2019-11-16T00:00:00-05:00|MS|Mississippi|
/data-reports/fatality-reports/2019/november-5-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/november-5-2019-fatality|Powered Haulage|ArcelorMittal Minorca Mine Inc, St Louis County,  MN|Metal and Non-Metal|ArcelorMittal USA LLC|Iron Ore|2019-11-05T00:00:00-05:00|MN|Minnesota|
/data-reports/fatality-reports/2019/september-17-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/september-17-2019-fatality|Electrical|American Eagle Mine, Kanawha County,  WV|Coal|Blackhawk Mining LLC|Coal (Bituminous)|2019-09-17T00:00:00-04:00|WV|West Virginia|
/data-reports/fatality-reports/2019/september-5-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/september-5-2019-fatality|Powered Haulage|Cardinal Mine, Hopkins County,  KY|Coal|Alliance Resource Partners LP|Coal (Bituminous)|2019-09-05T00:00:00-04:00|KY|Kentucky|
/data-reports/fatality-reports/2019/august-29-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/august-29-2019-fatality|Fall of Face, Rib, Side or Highwall|Enlow Fork Mine, Consol Pennsylvannia|Coal|CONSOL Energy Inc|Coal (Bituminous)|2019-08-29T00:00:00-04:00|ConsolPennsylvannia|Pennsylvania|
/data-reports/fatality-reports/2019/august-20-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/august-20-2019-fatality|Slip or Fall of Person|Scrubgrass Fuel Handling Facility, Venango County,  PA|Coal|Falcon Power LLC; Aspen Scrubgrass Participant LLC|Coal (Bituminous)|2019-08-20T00:00:00-04:00|PA|Pennsylvania|
/data-reports/fatality-reports/2019/august-15-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/august-15-2019-fatality|Electrical|Cote Blanche Mine, Iberia County, LA|Metal and Non-Metal|Compass Minerals International Inc|Salt|2019-08-15T00:00:00-04:00|LA|Louisiana|at approximately  am shawn clements and derrick hensler mc electrics electricians met with nate landy compass electrical supervisor landy instructed clements and hensler to remove a high voltage power cable in the back part of the mine at approximately  am clements and hensler returned to landys office and informed him they had a flat tire on the personnel lift they were using to remove the cable and were unable to complete the task landy reassigned clements and hensler to install a new dedicated  vac electrical circuit for the fire suppression system in the portion of the mine referred to as the c trench vincent louviere compass mine electrician and david goodwin fire and safety specialists technician notified landy the fire suppression system was deenergized based on goodwin with louviere present finding no power inside the panel using a voltage meterat approximately  am landy sent kauby labiche compass mine electrician to check on clements and hensler when labiche arrived hensler was drilling a hole in the side of an electrical circuit breaker box just outside the c trench clements was in the trench installing a cable for the new circuit hensler asked labiche to find out if clements had another drill since the battery was going dead on his drill labiche went into the trench and attempted to get clements attention by yelling for him labiche then approached clements and touched him on the back and clements fell to the ground labiche left the trench to get assistance at approximately  am labiche called over the mine radio a man was down in the c trench hensler saw labiche run out of the trench so he went in to check on clements hensler found clements on the ground and unresponsive he grabbed clements by the feet and dragged him out from between the belt conveyor and the control box hensler began cardiopulmonary resuscitation cpr and continued until mine rescue team members arrived at the scene and took over mine rescue team members continued cpr and used an automated external defibrillator with no response while transporting clements to the surface emergency medical services received clements and transported him to the st mary parish coroners office eric j melancon md coroner for the st mary parish coroner office pronounced him deceased at  pm the cause of death was electrocution
/data-reports/fatality-reports/2019/august-7-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/august-7-2019-fatality|Electrical|South Hollow Prep Plant and Loadout, Kanawha County,  WV|Coal|Blackhawk Mining LLC|Coal (Bituminous)|2019-08-07T08:20:00-04:00|WV|West Virginia|
/data-reports/fatality-reports/2019/august-2-2019-fatality|https://www.msha.gov/data-reports/fatality-reports/2019/august-2-2019-fatality|Powered Haulage|Smoky Canyon Mine, Park County,  WY|Metal and Non-Metal|Scott Simplot|Phosphate Rock|2019-08-02T00:00:00-04:00|WY|Wyoming|on august   at  am astle and other members of the kilroy crew arrived at thesmoky canyons mine office the crew proceeded to the laydown yard to continue their work reclaiming areas mined by simplot see appendix a the laydown yard is located in caribou county idaho at  am astle started the fuellube truck located in the laydown yard to get a load of fuel at  am he parked the fuellube truck at the laydown yard after fueling equipment and started operating a haul truckat  am astle was at the fueling area waiting to get loaded with material when the frontend loader started leaking oil astle got out of his haul truck and assisted opening the engine doors of the frontend loader and assisted with the repair of the oil leak colter perry foreman assigned astle to retrieve the fuellube truck still located in the laydown yard to provide oil to the frontend loader astle drove this haul truck to the laydown yard to retrieve the fuellube truck and then proceeded to the fueling areaafter servicing the frontend loader astle left the fueling area to return the fuellube truck to the laydown yard brandon hammond equipment operator heard astle call out over the company radio saying he had lost power and brakes hammond instructed astle to pull the emergency brake and try to reach the runaway truck ramp at  pm tiffany worton laboratory techniciansurveyor placed a call over the company radio stating there had been an accident at the runaway truck ramp worton and deejay merritt equipment operator arrived at the accident site and observed the fueltruck beyond the runaway truck ramp berm on its drivers side initially they did not see astle who was lying on the front seat so they searched the scene around the truck for astle jed miller simplots first responder and perry had arrived at the accident site shortly after worton and merritt miller along with other first responders extinguished a small engine fire and located astle inside truck astle was unresponsive and miller was not able to detect any vital signsat  pm simplots emergency rescue team removed astle who was still unresponsive from the truck and took him to the mine ambulance at  pm air idaho rescue arrived assessed astle and pronounced him dead at the scene at  pm
